"incremental_id","tender_title","buyer","award_date","award_value","contract_start","contract_end","supplier","source_url"
"3,645","No matching tender, likely a direct award","UK HYDROGRAPHIC OFFICE","15/03/2022","149,420","","","PWC","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=MAR391710"
"3,646","P10773 - DEL Line of Business Applications","DEPARTMENT FOR THE ECONOMY","15/03/2022","5,900,000","","","FUJITSU SERVICES LTD","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=MAR391720"
"3,647","No matching tender, likely a direct award","MHRA","15/03/2022","3,850,000","","","ACCENTURE (UK) LIMITED","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=MAR391744"
"3,644","No matching tender, likely a direct award","THE COMMON SERVICES AGENCY (MORE COMMONLY KNOWN AS NHS NATIONAL SERVICES SCOTLAND) (""NSS"")","15/03/2022","138,540","","","CAPGEMINI UK PLC","https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=MAR443443"
"3,801","No matching tender, likely a direct award","EREWASH BOROUGH COUNCIL","14/03/2022","","08/02/2022","07/02/2025","CAPITA RESOURCING","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=60f38ab6-c159-ec11-810e-005056b64545"
"3,802","No matching tender, likely a direct award","SOUTH TEES SITE COMPANY","14/03/2022","","18/02/2022","01/06/2023","DELOITTE LLP","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=cbc2ddd1-aa5e-ec11-8110-005056b64545"
"4,644","Provision and Support of MHRA Regulatory Systems","MHRA","14/03/2022","","","","ACCENTURE (UK) LIMITED","https://www.find-tender.service.gov.uk/Notice/006901-2022"
"4,825","P10773 - DEL Line of Business Applications","DEPARTMENT FOR THE ECONOMY","14/03/2022","","","","FUJITSU SERVICES LTD","https://www.find-tender.service.gov.uk/Notice/006868-2022"
"4,826","Environmental Management Systems","UK HYDROGRAPHIC OFFICE","14/03/2022","","","","PWC","https://www.find-tender.service.gov.uk/Notice/006858-2022"
"2,683","Tax Support for Finance","LINCOLNSHIRE HOUSING PARTNERSHIP","14/03/2022","36,000","01/04/2022","31/03/2023","PRICEWATERHOUSECOOPERS LLP","https://www.contractsfinder.service.gov.uk/Notice/02f6804e-5406-4432-b22d-ca7972e31832"
"2,685","QUALITY ASSURANCE MATRIX DEPLOYMENT","DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST","14/03/2022","45,000","14/03/2022","16/06/2022","IBM UNITED KINGDOM LTD","https://www.contractsfinder.service.gov.uk/Notice/a0cc5b39-4ba5-4478-8382-cb2ad03766bf"
"2,686","Test Supply Chain Organisation Management and Order Capture (through Salesforce)","UK HEALTH SECURITY AGENCY","14/03/2022","7,257,062","14/03/2022","31/05/2024","DELOITTE LLP","https://www.contractsfinder.service.gov.uk/Notice/91c3662a-aff8-4855-95ee-02b10a1f0957"
"2,684","ES AMS Level 2 support","HOME OFFICE","14/03/2022","9,500,000","14/03/2022","31/03/2022","IBM UNITED KINGDOM LTD","https://www.contractsfinder.service.gov.uk/Notice/75668334-eb1e-4a42-9194-589392572d02"
"3,803","No matching tender, likely a direct award","THE COMMON SERVICES AGENCY (MORE COMMONLY KNOWN AS NHS NATIONAL SERVICES SCOTLAND) (""NSS"")","14/03/2022","580,000","","","CAPITA BUSINESS SERVICES","https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=MAR443273"
"3,772","No matching tender, likely a direct award","NORTHUMBRIA UNIVERSITY","12/03/2022","87,500","","","PRICEWATERHOUSECOOPERS LLP","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=MAR391547"
"3,771","Education Network for Northern Ireland — “Education Network (NI)”","EDUCATION AUTHORITY","12/03/2022","73,000,000","","","CAPITA MANAGED IT SOLUTIONS","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=MAR391482"
"3,748","No matching tender, likely a direct award","BOURNEMOUTH CHRISTCHURCH AND POOLE COUNCIL","11/03/2022","","01/03/2022","30/04/2022","KPMG LLP","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=a6b7c9b6-35a1-ec11-8112-005056b64545"
"4,827","Provision of International Tax Advice Further Competition Crown Commercial Service Management Consultancy Framework 3 Reference RM6187 Lot 4","NORTHUMBRIA UNIVERSITY","11/03/2022","","","","PRICEWATERHOUSECOOPERS LLP","https://www.find-tender.service.gov.uk/Notice/006723-2022"
"3,778","Education Network for Northern Ireland — “Education Network (NI)”","EDUCATION AUTHORITY","11/03/2022","","","","CAPITA MANAGED IT SOLUTIONS","https://www.find-tender.service.gov.uk/Notice/006649-2022"
"2,682","CSU Collaboration Specialist Consultancy","NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT","11/03/2022","219,630","11/03/2022","31/03/2022","DELOITTE","https://www.contractsfinder.service.gov.uk/Notice/6c1cf5f3-574f-427b-ab01-5fc4dd60d639"
"2,681","Transformation Lead","UK HEALTH SECURITY AGENCY, AN AGENCY OF THE DEPT. OF HEALTH AND SOCIAL CARE","11/03/2022","124,000","09/03/2022","31/03/2022","PA CONSULTING SERVICES LIMITED","https://www.contractsfinder.service.gov.uk/Notice/80ae605f-d772-42eb-a0d7-54f9606b8854"
"2,680","Test","BRITISH COUNCIL(THE)","11/03/2022","100,000","01/04/2022","31/03/2024","ERNST AND YOUNG","https://www.contractsfinder.service.gov.uk/Notice/fa372241-0c34-4dfe-9a71-253f697cab71"
"2,678","TROP0023-13 Franchise Financial Advisors","DFTC - DEPARTMENT FOR TRANSPORT","10/03/2022","19,650","10/03/2022","31/03/2022","PWC UK LLP","https://www.contractsfinder.service.gov.uk/Notice/b371e781-f077-4ebb-990b-a76ce9402643"
