"incremental_id","tender_title","buyer","award_date","award_value","contract_start","contract_end","supplier","source_url"
"5,507","No matching tender, likely a direct award","CORNWALL COUNCIL","03/02/2022","","03/02/2022","31/03/2022","CGI IT UK LTD","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=3b723a0e-fb84-ec11-8110-005056b64545"
"4,067","Skilled Practitioners DPS","THE COMMON SERVICES AGENCY (MORE COMMONLY KNOWN AS NHS NATIONAL SERVICES SCOTLAND) (""NSS"")","03/02/2022","","","","KPMG LLP","https://www.find-tender.service.gov.uk/Notice/003155-2022"
"2,553","Response to Energy Market Situation including Retail Strategy and Digital Transformation","OFGEM","03/02/2022","1,630,080","04/02/2022","31/05/2022","PRICEWATERHOUSE COOPERS LLP (PWC)","https://www.contractsfinder.service.gov.uk/Notice/44b36e5e-55e1-473e-8064-71679a3d7e07"
"2,549","GB-London: CON-22-001 Economist Resource Requirement - PSR","FINANCIAL CONDUCT AUTHORITY","03/02/2022","160,000","14/02/2022","30/06/2022","PA CONSULTING","https://www.contractsfinder.service.gov.uk/Notice/ffdb2220-fe37-4ea5-9966-271322ced6e8"
"2,550","Consultancy advice","HEE","03/02/2022","98,610","03/02/2022","14/04/2022","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/46c793ce-9141-4de7-9c1e-82d3554386f4"
"2,551","Grant Audit","DONCASTER COUNCIL","03/02/2022","50,000","10/02/2022","31/03/2023","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/242b4688-60f5-40b0-8553-a737a2686150"
"2,552","NISSS Service Delivery Partner (NSDP)","DEFENCE SCIENCE AND TECHNOLOGY LABORATORY","03/02/2022","5,890,000","01/04/2022","30/11/2025","PA CONSULTING SERVICES LIMITED","https://www.contractsfinder.service.gov.uk/Notice/0efa60cb-d5a6-423c-8203-53fec2487514"
"5,481","No matching tender, likely a direct award","NHS GREATER GLASGOW AND CLYDE","03/02/2022","170,450","","","SERCON LTD","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=FEB387354"
"5,489","No matching tender, likely a direct award","THE COMMON SERVICES AGENCY (MORE COMMONLY KNOWN AS NHS NATIONAL SERVICES SCOTLAND) (""NSS"")","03/02/2022","434,160","","","KPMG LLP","https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=FEB439606"
"5,488","No matching tender, likely a direct award","GLASGOW CITY COUNCIL","03/02/2022","460,910","","","G4S CASH SOLUTIONS (UK) LTD","https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=FEB439616"
