"incremental_id","tender_title","buyer","award_date","award_value","contract_start","contract_end","supplier","source_url"
"4,271","External Audit Services","UNIVERSITY OF LINCOLN","22/07/2022","","","","KPMG LLP","https://www.find-tender.service.gov.uk/Notice/019976-2022"
"3,063","Hera Programme Trainers Phase 4","FOREIGN COMMONWEALTH AND DEVELOPMENT OFFICE","22/07/2022","445,000","01/08/2022","30/12/2022","ERNST & YOUNG LLP","https://www.contractsfinder.service.gov.uk/Notice/82fc9fc7-1cd1-4b96-9cc3-1aca91686abb"
"4,248","No matching tender, likely a direct award","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","21/07/2022","","06/09/2021","06/12/2023","BAIN","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=df977ff6-c472-eb11-810a-005056b64545"
"4,320","No matching tender, likely a direct award","SHEFFIELD HALLAM UNIVERSITY","21/07/2022","875,000","","","PRICEWATERHOUSECOOPERS LLP","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=JUL405409"
"4,274","Internal Audit Services","SHEFFIELD HALLAM UNIVERSITY","20/07/2022","","","","PRICEWATERHOUSECOOPERS LLP","https://www.find-tender.service.gov.uk/Notice/019812-2022"
"3,062","Provision of Support for ITSM Tooling Transformation","FOREIGN COMMONWEALTH AND DEVELOPMENT OFFICE","20/07/2022","895,050","20/07/2022","03/07/2024","DELOITTE LLP","https://www.contractsfinder.service.gov.uk/Notice/0d31fce0-0bac-43fd-8f89-a094ef587531"
"3,061","UKRI-1744 Research England multi-year data audit work","UK RESEARCH & INNOVATION","20/07/2022","348,295","22/07/2022","22/07/2024","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/3171bdbf-8a62-4730-9f5c-163d5a3cd231"
"3,060","LAS External Audit Services","LONDON AMBULANCE SERVICE NHS TRUST","20/07/2022","315,000","01/04/2022","31/03/2025","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/98d45e88-6475-410d-b7ff-2f8c0cea64a7"
"4,447","No matching tender, likely a direct award","LONDON BOROUGH OF WALTHAM FOREST","19/07/2022","","05/07/2022","09/09/2022","PA CONSULTING","https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=7dde6f9c-5e07-ed11-8116-005056b64545"
"3,059","Digital Test Service Phase 3","NHS DIGITAL","19/07/2022","30,000,000","20/07/2022","19/07/2024","ACCENTURE (UK) LIMITED","https://www.contractsfinder.service.gov.uk/Notice/9145b36b-316a-452f-bdc0-826cebf0ec5d"
"4,449","No matching tender, likely a direct award","DEPARTMENT FOR COMMUNITIES","19/07/2022","10,500,000","","","DELOITTE - MAIN ACCOUNT MCS/LLP","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=JUL405138"
"4,310","DfC - Strategic Partner Framework for Department for Communities and its participating Arm’s Length Bodies","THE COMMISSIONER FOR OLDER PEOPLE FOR NI","18/07/2022","","","","DELOITTE - MAIN ACCOUNT MCS/LLP","https://www.find-tender.service.gov.uk/Notice/019571-2022"
"3,057","Regulatory Platform Implementation Partner","CARE QUALITY COMMISSION","18/07/2022","3,955,008","20/06/2022","31/03/2024","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/bc015f51-e66a-47c7-a807-61436b0546bf"
"3,058","Personalised Outpatient Programme and Elective Recovery tender","NHS ENGLAND","18/07/2022","2,150,000","01/06/2022","31/10/2022","THE BOSTON CONSULTING GROUP UK LLP","https://www.contractsfinder.service.gov.uk/Notice/ced80e00-4e70-4fd7-a5a6-9c2c57faa2e8"
"3,056","Regulatory Platform Implementation Partner","CARE QUALITY COMMISSION","18/07/2022","3,955,008","20/06/2022","31/03/2024","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/d00732cf-37e2-4f3c-8354-278cb4c9be08"
