"incremental_id","tender_title","buyer","award_date","award_value","contract_start","contract_end","supplier","source_url"
"4,342","No matching tender, likely a direct award","UNIVERSITY OF DERBY","30/06/2022","400,000","","","KPMG LLP","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=JUN403383"
"4,152","CHINESE TAX CONSULTANCY","UNIVERSITY OF DERBY","29/06/2022","","","","KPMG LLP","https://www.find-tender.service.gov.uk/Notice/017690-2022"
"3,007","Financial Viability Assessments","OFFICE OF QUALIFICATIONS AND EXAMINATIONS REGULATION (OFQUAL)","29/06/2022","246,430","29/06/2022","31/03/2023","KPMG LLP","https://www.contractsfinder.service.gov.uk/Notice/854ec8a8-fed2-432e-b280-7abe45e8354b"
"4,330","No matching tender, likely a direct award","ROYAL BOTANIC GARDEN EDINBURGH","29/06/2022","150,000","","","CGI","https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=JUN452633"
"3,006","Technology Services - Extension","SERIOUS FRAUD OFFICE","28/06/2022","320,000","11/08/2022","10/08/2023","CGI IT UK LIMITED","https://www.contractsfinder.service.gov.uk/Notice/358c3dfd-7bd3-42ee-8fa2-a196be4a391d"
"4,403","Regulatory Economics, Price Review Planning and Strategy Consultancy","YORKSHIRE WATER SERVICES LIMITED","27/06/2022","","","","PA CONSULTING SERVICES LIMITED","https://www.find-tender.service.gov.uk/Notice/017555-2022"
"4,404","Regulatory Economics, Price Review Planning and Strategy Consultancy","YORKSHIRE WATER SERVICES LIMITED","27/06/2022","","","","KPMG LLP","https://www.find-tender.service.gov.uk/Notice/017555-2022"
"4,405","Regulatory Economics, Price Review Planning and Strategy Consultancy","YORKSHIRE WATER SERVICES LIMITED","27/06/2022","","","","ERNST & YOUNG LLP","https://www.find-tender.service.gov.uk/Notice/017555-2022"
"4,245","No matching tender, likely a direct award","LINCOLNSHIRE POLICE","25/06/2022","","01/04/2022","31/03/2023","CAPGEMINI UK","https://www.blpd.gov.uk/foi/foicontractview.aspx?contractid=52018"
"4,246","No matching tender, likely a direct award","CHESHIRE CONSTABULARY","25/06/2022","","27/06/2022","26/05/2023","CGI IT UK LIMITED","https://www.blpd.gov.uk/foi/foicontractview.aspx?contractid=51999"
"4,247","No matching tender, likely a direct award","CHESHIRE CONSTABULARY","25/06/2022","","15/03/2022","26/05/2023","CGI IT UK LIMITED","https://www.blpd.gov.uk/foi/foicontractview.aspx?contractid=51522"
"3,005","Research Operations Discovery","GENOMICS ENGLAND LIMITED","25/06/2022","79,570","26/06/2022","19/08/2022","IBM LIMITED","https://www.contractsfinder.service.gov.uk/Notice/0fa1523e-ed6c-4a5f-a2b1-217b8526f915"
"3,004","Consultancy on Pulse Modernisation - Service Requirements","NHS BLOOD AND TRANSPLANT","24/06/2022","250,000","04/07/2022","03/07/2023","ACCENTURE (UK) LIMITED","https://www.contractsfinder.service.gov.uk/Notice/ca6308e9-eb02-4722-8e2e-ad045013aefd"
"4,163","No matching tender, likely a direct award","PUBLIC HEALTH SCOTLAND","24/06/2022","3,500,000","","","CAPGEMINI","https://www.sell2wales.gov.wales/search/show/search_view.aspx?ID=JUN402773"
"4,412","PHS2223001 Whole System Modelling","PUBLIC HEALTH SCOTLAND","23/06/2022","","","","CAPGEMINI","https://www.find-tender.service.gov.uk/Notice/017119-2022"
"3,001","Data & Trading Environment Bench","DEPARTMENT FOR INTERNATIONAL TRADE","23/06/2022","4,000,000","16/06/2022","15/06/2024","DELOITTE LLP","https://www.contractsfinder.service.gov.uk/Notice/66a20c91-b207-45e4-824e-e906ebf775c1"
